RunOrder	StdOrder	WaterLvl	WaterType	CoffeLoad	Pressing	Heat	Yield
21	1	-	Levissima	-	No	Low	NA
30	2	+	Levissima	-	No	Low	NA
31	3	-	SanBenedetto	-	No	Low	NA
16	4	+	SanBenedetto	-	No	Low	12:00.77
25	5	-	Levissima	+	No	Low	NA
27	6	+	Levissima	+	No	Low	NA
6	7	-	SanBenedetto	+	No	Low	12:54.96
7	8	+	SanBenedetto	+	No	Low	16:30.25
29	9	-	Levissima	-	Yes	Low	NA
13	10	+	Levissima	-	Yes	Low	11:14.51
17	11	-	SanBenedetto	-	Yes	Low	NA
32	12	+	SanBenedetto	-	Yes	Low	NA
5	13	-	Levissima	+	Yes	Low	8:38.47
2	14	+	Levissima	+	Yes	Low	14:07.13
14	15	-	SanBenedetto	+	Yes	Low	13:35.17
24	16	+	SanBenedetto	+	Yes	Low	NA
18	17	-	Levissima	-	No	High	NA
3	18	+	Levissima	-	No	High	6:23.46
8	19	-	SanBenedetto	-	No	High	5:38.47
26	20	+	SanBenedetto	-	No	High	NA
28	21	-	Levissima	+	No	High	NA
15	22	+	Levissima	+	No	High	8:29.46
23	23	-	SanBenedetto	+	No	High	NA
10	24	+	SanBenedetto	+	No	High	8:36.19
19	25	-	Levissima	-	Yes	High	NA
9	26	+	Levissima	-	Yes	High	6:30.72
12	27	-	SanBenedetto	-	Yes	High	4:38.69
4	28	+	SanBenedetto	-	Yes	High	6:02.69
22	29	-	Levissima	+	Yes	High	NA
11	30	+	Levissima	+	Yes	High	9:19.04
20	31	-	SanBenedetto	+	Yes	High	NA
1	32	+	SanBenedetto	+	Yes	High	9:38.08
